unique_line,total_occurrences
Granted,2990
-------------------------,1573
___________________________________________________________________________________,1289
​​,701
_________________________________________________________________________________,535
GRANTED,452
​,429
No Violation,386
______________________________________________________________________________,209
Holder of a Common Victualler 7 Day All-Alcoholic Beverages License has petitioned to change the,144
City of Boston,138
Commissioners:,138
"Kathleen M. Joyce, Chairman",138
Liam P. Curran,138
Licensing Board,137
Executive Secretary:,136
Keeana S. Saxon,134
1.,127
_____________________________________________________________________________________,117
Attorney:  Dennis A. Quilty,115
Violation - Warning,111
Voting Hearing Agenda,107
Deferred,105
Daniel R. Green,99
Non-Hearing Transactions,98
Mayor Michelle Wu,97
2.,95
Has applied for a Common Victualler 7 Day All-Alcoholic Beverages License to be exercised on the,87
(all commissioners present),85
"Notice: Assault and battery patron on patron in violation of M.G.L. ch. 138 s. 64, ch. 265 s. 13A.",83
Holder of a Common Victualler 7 Day All Alcoholic Beverages License has petitioned,81
Holder of a Common Victualler License has petitioned to change the Manager of the licensed business,78
Attorney: Dennis A. Quilty,76
Holder of a Common Victualler 7 Day All-Alcoholic Beverages License has petitioned to transfer the,76
The following are applying for a new Common Victualler License at a previously licensed,71
Attorney:  Andrew F. Upton,69
3.,67
No Violation - Correspondence from the Board,67
location:,66
Acknowledged,62
Common Victualler 7-Day All Alcoholic Beverages License,60
Old and New Business,59
Violation - Written Warning,59
__________________________________________________________________________________,59
Attorney:  Joseph H. Devlin,57
Has applied for a Common Victualler License to be exercised at a previously licensed location,57
Attorney:  Kristen L. Scanlon,56
Attorney: Thomas P. Miller,54
Closing Time: 11:00 PM,52
D/B/A:,51
"Notice: Assault and battery employee on patron in violation of M.G.L. ch. 138 s. 64, ch. 265 s. 13A.",51
The Following have applied to make changes to their existing Common Victualler License:,51
4.,50
The Following have applied for a One Day Amendment to Existing License:,49
Holder of a Common Victualler 7 Day Wines and Malt Beverages with Liqueurs License has petitioned,46
Attorney:  Thomas P. Miller,45
"BOSTON, MA  02116",45
All Special One Day Alcohol Licenses have been approved,42
Closing Time: 1:00 AM,41
Correspondence from the Board,41
"Granted, pending the availability of a license for which they qualify",40
Granted.,40
5.,39
Closing Time:  11:00 PM,39
Holder of a Common Victualler 7 Day All-Alcoholic Beverages License has petitioned for a change of,39
Attorney: Andrew F. Upton,38
Holder of a Common Victualler 7 Day Wines and Malt Beverages with Liqueurs License has,38
licensed location,38
Holder of a Common Victualler 7 Day All-Alcoholic Beverages License has petitioned to amend the,37
Lesley Delaney Hawkins,37
_____________________________________________________________________________,37
Holder of an Innholder All-Alcoholic Beverages License has petitioned to change the manager of the,35
Closing Time:  1:00 AM,34
"EAST BOSTON, MA  02128",34
Holder of a Common Victualler 7 Day All-Alcoholic Beverages License has petitioned to,34
"BOSTON, MA  02210",33
Closing Time: 10:00 PM,33
The following are applying for a new Common Victualler License at a previously,33
________________________________________________________________________________,33
(all members present),32
6.,31
Closing Time: 2:00 AM,31
Holder of a Common Victualler 7 Day All-Alcoholic Beverages License has petitioned to transfer,31
"34C, 64‑64A.",30
Attorney:  Jon D. Aieta,30
Attorney: John P. Connell,30
Manager: Jenna Chillington,29
"Granted, pending the availability of a license for which the applicant qualifies",28
Has applied for a Common Victualler 7 Day Wines and Malt Beverages License to be exercised on the,28
__________________________________________________________________________,28
Mayor Martin J. Walsh,27
Attorney: Kristen L. Scanlon,26
________________________________________________________________________________________________,26
Attorney:  Elizabeth Pisano,25
Has applied for a Retail Package Store Wines and Malt Beverages License to be exercised on the above,25
Holder of a Common Victualler 7 Day All‑Alcoholic Beverages License has petitioned to,25
Manager: Alexander Marconi,25
Attorney: Joseph H. Devlin,24
Closing Time:  2:00 AM,24
Holder of a Common Victualler 7 Day Wines and Malt Beverages License has petitioned to change the,24
Holder of a Retail Package Store All-Alcoholic Beverages License has petitioned to transfer the license,24
The Board will hold this application in an active status for two years,24
Closing Time:  11 p.m.,23
Doing business as: Billares Colombia,22
Holder of a Common Victualler 7 Day All Alcoholic Beverages License has petitioned to,22
Holder of a Common Victualler License has petitioned to Change the Closing Hour of the licensed,22
Old and New Business:,22
7.,21
"800 Boylston St., Boston, MA 02199",21
"BOSTON, MA  02114",21
Closing Time:  10:00 PM,21
Deferred to allow for completion of the community process,21
Holder of a Common Victualler 7 Day Wines and Malt Beverages License has petitioned to transfer the,21
Violation - 2nd Warning,21
Voting Agenda,21
____________________________________________________________________________,21
Attorney: Lesley Delaney Hawkins,20
Has applied for a Common Victualler License to be exercised at a previously licensed location ‑,20
Holder of an (Airport) Common Victualler 7 Day All-Alcoholic Beverages License has petitioned to,20
Hours of Operation: 11:00 AM to 11:00 PM,20
"Notice: Persons under 21 in possession of alcohol on premise in violation of M.G.L. ch. 138 s. 34A,",20
Attorney:  Nicholas J. Zozula,19
Attorney: Jon D. Aieta,19
Holder of a Retail Package Store All-Alcoholic Beverages License has petitioned to change the,19
Ownership Interest.,19
"1420 to 1440 Soldiers Field Rd., Brighton, MA 02135",18
Attorney:  Patricia Lang Farnsworth,18
Attorney:  Stephen V. Miller,18
Attorney:  William G. Ferullo,18
Attorney: Elizabeth Pisano,18
"BOSTON, MA  02110",18
"BOSTON, MA  02111",18
Closing Time: 12:00 AM,18
Continued to the next available hearing date,18
Doing business as: Bill's Bar/The Lansdowne Pub,18
"East Boston, MA 02128",18
Holder of a Common Victualler 7 Day All-Alcoholic Beverages License has petitioned for a change,18
License #: LB-99386,18
"SOUTH BOSTON, MA  02127",18
"100 Legends Way, Boston, MA 02114",17
"700 Boylston St., Boston, MA 02116",17
"Assault and battery patron on employee in violation of M.G.L. ch. 138 s. 64, ch. 265 s. 13A.",17
"Board's rule 1.03J, 1.06A,F.",17
"Notice: Patron on patron assault and battery in violation of M.G.L. ch. 138 s. 64, ch. 265 s. 13A.",17
WARNING,17
ch. 265 s. 13A.,17
Attorney:  Carolyn M. Conway,16
Doing business as: Bijou and Rock & Rye,16
Doing business as: TD Garden,16
Doing business as: The Catered Affair,16
Holder of a Common Victualler License has petitioned to change the DBA of the licensed business,16
Holder of a Retail Package Store Wines and Malt Beverages License has petitioned to change the,16
Hours of Operation:  11:00 AM to 11:00 PM,16
Manager: Michael Carlisle,16
Old & New Business,16
"ROXBURY, MA  02118",16
Rescheduled,16
●,16
Attorney:  Jennifer Allen,15
"BOSTON, MA  02215",15
Holder of a Common Victualler 7 Day Wines and Malt Beverages License has petitioned to transfer,15
Holder of a Retail Package Store All-Alcoholic Beverages License has petitioned for a change of,15
License,15
License #: LB-464491,15
M.G.L. ch. 138 s. 64.,15
No violation,15
Officers/Directors.,15
8.,14
9.,14
Attorney:  Adam R. Barnosky,14
Attorney:  John P. Connell,14
Attorney:  Marci Costa,14
"BOSTON, MA  02115",14
Closing Time:  12:00 AM,14
Doing business as: Charles River Speedway,14
Doing business as: Game on Sports Café,14
Has applied for a Retail Package Store Wines and Malt Beverages License to be exercised on the,14
Holder of a Common Victualler 7 Day All-Alcoholic Beverages License has petitioned,14
Hours of Operation: 7:00 AM to 11:00 PM,14
Hours of Operation: 7:00 AM to 7:00 PM,14
NO VIOLATION,14
"Notice: Assault and battery patron on employee in violation of M.G.L. ch. 138 s. 64, ch. 265 s. 13A.",14
Officers/Directors/LLC Managers.,14
Rescheduled to the next available hearing date,14
13A.,13
Acting Mayor Kim Janey,13
Attorney: Patricia Lang Farnsworth,13
"Brennan Jr. and lastly, has petitioned to add officer Jandi Gamboa and Cynthia Sliva.",13
Closing Time:  9:00 PM,13
Closing Time: 9:00 PM,13
Doing business as: Ned Devine’s,13
Doing business as: Royale,13
"Hearing Date: October 30, 2024",13
Holder of an Innholder All-Alcoholic Beverages License has petitioned for a change of,13
Hours of Operation:  7:00 AM to 11:00 PM,13
PM.,13
"The Board deferred the following to allow for completion of the community process,",13
Attorney:  Jeffrey R. Drago,12
Attorney: Adam R. Barnosky,12
"BOSTON, MA  02109",12
Deferred pending completion of the community process,12
Holder of a Common Victualler 7 Day Wines and Malt Beverages w/ Liqueurs License has petitioned to,12
Holder of a Retail Package Store All Alcoholic Beverages License has petitioned to,12
Holder of an Innholder All Alcoholic Beverages License has petitioned to change the,12
License #: LB-447987,12
"Location: 51  Stuart St Boston, MA  02116",12
"Location: 9  Lansdowne St Boston, MA  02215",12
Rejected without prejudice,12
The Board voted to approve a Zip Code restricted All Alcoholic Beverages License,12
The Board voted to grant a Zip Code restricted All Alcoholic Beverages License,12
The following have applied for a One Day Amendment to Existing License:,12
Withdrawn,12
265 s. 13A.,11
"64, ch. 265 s. 15A.",11
Attorney: William G. Ferullo,11
Common Victualler 7-Day Wines and Malt Beverages License,11
Doing business as: Trillium,11
Holder of a Common Victualler 7 Day Wines and Malt Beverages License has petitioned,11
License #: LB-99128,11
Licensee must have a copy of the approved floorplan on the premises at all times.,11
"Location: 100 Legends Way, Boston, MA 02114",11
"Location: 28  Bennington St East Boston, MA  02128",11
RESCHEDULED,11
THE BOARD WILL DEFER DELIBERATION ON ALL NEW ALCOHOLIC BEVERAGES,11
________________________________________________________________________,11
"classification of its license -To Wines, Malt Beverages and Liqueurs pursuant to the authority contained",11
"for a change of Officers/Directors/LLC Managers. Secondly, has petitioned for a change in",11
location,11
record.,11
"2201 Faneuil Hall Market Pl., Boston, MA 02109",10
Attorney:  Michael W. Ford,10
Attorney: Michael W. Ford,10
"DORCHESTER, MA  02125",10
Date,10
Doing business as:  Sweetgreen,10
Doing business as: Legacy Boston,10
Doing business as: Scorpion Bar & Restaurant/The Grand,10
Holder of a Common Victualler 7 Day All-Alcoholic Beverages License has petitioned for a,10
Holder of a Common Victualler 7 Day Wines and Malt Beverages License has petitioned to change,10
Holder of a Retail Package Store All-Alcoholic Beverages License has petitioned to,10
Holder of a Retail Package Store All-Alcoholic Beverages License has petitioned to transfer the,10
Holder of an (Airport) Common Victualler 7 Day All Alcoholic Beverages License has,10
Hours of Operation: 10:00 AM to 10:00 PM,10
Hours of Operation: 10:00 AM to 11:00 PM,10
Hours of Operation: 7:00 AM to 9:00 PM,10
"JAMAICA PLAIN, MA  02130",10
Notice,10
"ONE CITY HALL SQUARE, ROOM 809 ​| ​BOSTON, MA 02201 ​| ​BOSTON.GOV/LICENSING | ​617-635-4170",10
Package Store All-Alcoholic Beverages.,10
The following have applied to make changes to their existing Common Victualler Licenses,10
Violation - 1st Warning,10
__________________________________________________________________________________________,10
category of the licensed business- From: Retail Package Store Wines and Malt Beverages To: Retail,10
has petitioned to change the corporate name From: Starbuck’s Coffee Company To: Starbucks,10
to change the manager of the,10
(excluding staff).,9
"100 Hanover St., Boston, MA 02108",9
ACKNOWLEDGED,9
"Assault and battery employee on patron in violation of M.G.L. ch. 138 s. 64, ch. 265 s. 13A.",9
Attorney:  John M. Mooradian,9
Attorney:  Patricia L. Farnsworth,9
Attorney: Carolyn M. Conway,9
"BRIGHTON, MA  02135",9
Bottle Service on their licensed premise.,9
Doing business as: Harpoon Brewery,9
Doing business as: Icon,9
Doing business as: Sidebar,9
Doing business as: Yard House,9
Has applied for a Common Victualler License to be exercised at a previously licensed location -,9
Has applied for a Retail Package Store Malt & Wine License to be exercised on the,9
Holder of a Common Victualler License has petitioned to change the closing hour of the licensed,9
Holder of an Innholder All-Alcoholic Beverages License has petitioned for the approval of a,9
Hours of Operation:  11:00 AM to 10:00 PM,9
Hours of Operation:  7:00 AM to 9:00 PM,9
Hours of Operation: 11:00 AM to 9:00 PM,9
"Location: 71 ‑ 79  Warrenton St Boston, MA  02116",9
Notice: Persons under 21 in possession of alcohol on premise in violation of M.G.L. ch.,9
"Officers/Directors. Secondly, has petitioned for a change of Stock Interest.",9
265 s. 15A.,8
ALL ONE DAY SPECIAL LICENSES HAVE BEEN GRANTED,8
ALL SPECIAL ONE DAY LICENSES HAVE BEEN GRANTED,8
"Assault and battery patron on patron in violation of M.G.L. ch. 138 s. 64, ch. 265 s. 13A.",8
Attorney:  Andrew Upton,8
Attorney:  Carolyn M Conway,8
Attorney:  Eugene R. Richard,8
Attorney: Dennis Quilty,8
Attorney: John Mooradian,8
Attorney: Stephen V. Miller,8
"BOSTON, MA  02113",8
"Board's rule 1.03J, 1.06A, F.",8
"CHARLESTOWN, MA  02129",8
Closing Time:  2 a.m.,8
"Doing business as: ""Red Line Pizza""",8
Doing business as: Dunkin Donuts,8
Doing business as: Loco Taqueria & Oyster Bar,8
Doing business as: The Harp,8
